saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
6,5,0,0,0,1,0,0,0,0,0,0,1,7.7,Danilo Fernandes,danilo-fernandes,135,145054,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
5,3,2,0,0,2,0,1,1,0,0,0,4,7.6,Pedro Morisco,pedro-morisco,16,1507616,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
35,22,12,0,5,12,6,0,5,5,0,0,1,7.5,John,john,237,840103,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,12,0,0,7,0,7.49,Raphael Veiga,raphael-veiga,7424,840020,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,9,0,0,0,19,0,0,4,0,7.45,Hulk,hulk,9558,34705,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
8,6,3,0,1,2,2,0,1,2,0,0,4,7.45,Caíque,caique,154,839514,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,2,0,0,1,0,7.33,Eduardo Bauermann,eduardo-bauermann,211,358530,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
7,5,2,0,1,2,1,0,1,1,0,0,1,7.3,Adriel,adriel,207,1106840,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
24,11,2,0,1,13,3,1,5,3,0,1,1,7.3,Léo Linck,leo-linck,112,1119887,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,8,0,0,1,0,7.29,Dudu,dudu,4022,147464,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,41,0,0,3,0,7.27,Luis Suárez,luis-suarez,67176,16943,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
13,7,0,0,1,6,0,1,3,0,0,0,5,7.27,Marcelo Lomba,marcelo-lomba,486,34141,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,20,0,0,4,0,7.26,Tiquinho Soares,tiquinho-soares,4253,789100,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,18,0,0,2,0,7.24,Giorgian De Arrascaeta,giorgian-de-arrascaeta,15068,333587,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,0,0,10,0,0,0,10,0,0,1,0,7.21,Robert Arboleda,robert-arboleda,1472,338937,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
40,21,9,2,8,19,1,1,9,1,0,1,5,7.21,Agustín Rossi,agustin-rossi,1358,1140986,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
77,48,6,0,5,28,7,4,19,7,1,3,8,7.21,Matheus Cunha,matheus-cunha,1562,1105835,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,20,0,0,4,0,7.2,Vitor Bueno,vitor-bueno,617,808785,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
1,0,1,0,1,1,0,0,0,0,0,0,0,7.2,Anderson,anderson,114,942061,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
1,1,1,0,1,0,0,0,0,0,0,0,1,7.2,Mauricio Kozlinski,mauricio-kozlinski,55,879859,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
7,5,0,0,1,2,0,0,1,0,0,0,2,7.2,Matheus Mendes,matheus-mendes,137,1018555,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,3,0,0,2,0,7.18,Moisés,moises,417,1046501,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,13,0,0,4,0,7.17,Alef Manga,manga-alef,501,954719,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,16,0,0,3,0,7.17,Pablo Vegetti,pablo-vegetti,2050,583974,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,15,0,0,2,0,7.16,Lucas Veríssimo,lucas-verissimo,1928,826343,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,13,0,0,0,19,0,0,1,0,7.15,Lucas Evangelista,lucas-evangelista,519,331397,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,17,0,0,4,0,7.15,Paulinho,paulinho,4253,885179,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,0,0,0,6,0,0,0,17,0,0,2,0,7.15,Mauricio Lemos,mauricio-lemos,549,385916,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,15,0,0,3,0,7.15,Lucas Silva,lucas-silva,524,245159,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,12,0,0,0,25,0,0,1,0,7.14,Juninho Capixaba,juninho-capixaba,549,870556,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
24,11,1,0,1,12,0,1,5,0,0,0,2,7.13,Fernando Miguel,fernando-miguel,202,358418,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
0,0,0,0,13,0,0,0,26,0,0,4,0,7.13,Marlon,marlon,537,870787,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
86,56,19,0,15,30,21,7,24,19,1,1,14,7.13,Cleiton,cleiton,343,844576,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,14,0,0,4,0,7.13,Jonathan Calleri,jonathan-calleri,4579,340519,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
97,58,19,0,14,38,11,1,22,10,0,4,27,7.12,Éverson,everson,602,870748,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,0,0,0,9,0,0,0,13,0,0,4,0,7.12,Luan,luan,687,250351,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,12,0,0,1,0,7.12,Léo Ortiz,leo-ortiz,542,869643,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,11,0,0,0,28,0,0,4,0,7.12,Léo Pereira,leo-pereira,1519,358548,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,0,0,14,0,0,0,29,0,0,4,0,7.12,Fabrício Bruno,fabricio-bruno,1268,840220,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,0,0,8,0,0,0,14,0,0,7,0,7.12,Mayke,mayke,845,273329,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
101,57,19,1,12,42,13,5,34,13,0,3,39,7.12,Fábio,fabio,808,17785,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,7,0,0,0,25,0,0,2,0,7.11,Jhon Arias,jhon-arias,2133,844096,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
130,74,15,0,9,55,18,6,43,17,0,4,23,7.11,Marcos Felipe,marcos-felipe,258,358524,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,7,0,0,0,0,7.11,Marcos Rocha,marcos-rocha,906,82576,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
128,68,11,3,14,60,18,1,28,18,0,5,29,7.11,Lucas Perri,lucas-perri,1386,871290,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,28,0,0,4,0,7.11,Cauly,cauly,824,255873,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,9,0,0,0,0,7.11,Adson,adson,1048,1105970,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,17,0,0,1,0,7.11,Róger Guedes,roger-guedes,5993,777341,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,3,0,0,0,0,7.1,Maurício Antônio,mauricio-antonio,33,583824,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,0,0,0,1,0,7.1,Felipe Jonatan,felipe-jonatan,325,931574,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Cipriano,cipriano,30,1111123,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,6,0,0,3,0,7.09,Maicon,maicon,505,44691,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
0,0,0,0,7,0,0,0,42,0,0,8,0,7.08,Joaquim,joaquim,372,1047740,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
104,67,8,1,14,34,9,3,27,9,0,4,15,7.08,Rafael Cabral,rafael-cabral,351,124980,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,19,0,0,2,0,7.08,Bitello,bitello,1412,1106839,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,13,0,0,1,0,7.08,Murillo,murillo,1442,1199282,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,9,0,0,0,17,0,0,5,0,7.07,Murilo,murilo,1124,874729,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,7,0,0,0,16,0,0,4,0,7.07,Renê,rene,636,243113,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
0,0,0,0,9,0,0,0,28,0,0,2,0,7.07,Gerson,gerson,8025,611876,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,0,0,12,0,0,0,27,0,0,2,0,7.07,Adryelson,adryelson,816,795261,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,0,0,0,2,0,7.07,Brayan Ceballos,brayan-ceballos,143,1129429,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
97,52,12,0,14,45,7,4,22,6,1,7,32,7.07,Weverton,weverton,2553,243529,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,30,0,0,1,0,7.07,Franco Cristaldo,franco-cristaldo,1200,558820,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,0,0,0,9,0,0,0,31,0,0,3,0,7.07,André,andre,3894,1035996,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,14,0,0,0,0,7.06,Helinho,helinho,501,906837,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,12,0,0,0,0,7.06,Alan Franco,alan-franco,574,875402,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
13,4,4,0,2,9,1,2,4,1,0,0,2,7.06,Jandrei,jandrei,421,874979,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,0,0,0,10,0,0,0,22,0,0,2,0,7.06,Bruno Rodrigues,bruno-rodrigues,900,817650,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,15,0,0,1,0,7.06,Marcelo,marcelo,32275,17787,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,24,0,0,3,0,7.05,Guilherme Marques,guilherme-marques,339,109610,Goiás,goias,Goiás,0,0,1960,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,3,0,0,1,0,7.05,Gustavo Sauer,gustavo-sauer,280,904505,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,3,0,0,0,0,7.05,Richard Cândido,richard-candido,274,897617,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,12,0,0,0,0,7.05,Eduardo Santos,eduardo-santos,89,925189,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,14,0,0,0,25,0,0,4,0,7.05,Víctor Cuesta,victor-cuesta,718,587148,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
0,0,0,0,8,0,0,0,17,0,0,7,0,7.05,Lucas Beraldo,lucas-beraldo,1273,1108441,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
128,65,22,0,9,61,2,5,42,2,1,7,30,7.04,Léo Jardim,leo-jardim,762,595598,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
113,66,18,2,9,47,9,3,40,8,0,4,41,7.04,Tadeu,tadeu,341,552172,Goiás,goias,Goiás,0,0,1960,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,4,0,0,1,0,7.04,Rossi,rossi,424,243425,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
133,62,15,0,8,71,4,7,41,4,0,5,26,7.04,Cássio,cassio,2355,27756,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,40,0,0,2,0,7.03,Reinaldo,reinaldo,821,243109,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,22,0,0,1,0,7.03,Keno,keno,1051,787607,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,2,0,0,0,0,7.03,Pedrinho,pedrinho,1338,874030,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,20,0,0,3,0,7.03,Ganso,ganso,1728,116853,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,17,0,0,1,0,7.03,Renato Augusto,renato-augusto,3247,34152,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,1,0,0,0,0,7.03,Nathan Silva,nathan-silva,333,841129,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
124,69,16,0,8,54,7,6,40,6,1,6,22,7.02,João Paulo,joao-paulo,933,795177,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
44,28,10,3,0,16,4,1,19,4,0,3,9,7.02,Jory,jory,31,839762,América Mineiro,america-mineiro,América Mineiro,0,0,1973,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,9,0,0,3,0,7.02,Artur,artur,2210,841128,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,7,0,0,0,17,0,0,5,0,7.02,Rafinha,rafinha,1642,12634,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,0,0,0,7,0,0,0,27,0,0,5,0,7.02,Tinga,tinga,245,330057,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
0,0,0,0,11,0,0,0,26,0,0,4,0,7.02,Marlon Freitas,marlon-freitas,373,840202,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,5,0,0,2,0,7.02,Nikão,nikao,457,139300,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,14,0,0,1,0,7.02,David Luiz,david-luiz,5401,21300,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,0,0,9,0,0,0,14,0,0,4,0,7.02,Guilherme Arana,guilherme-arana,2113,1127439,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
106,66,17,0,12,40,6,4,34,6,0,1,33,7.02,Walter,walter,275,329055,Cuiabá,cuiaba,Cuiabá,0,0,49202,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,8,0,0,0,0,7.02,Fernando,fernando,105,1017746,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,6,0,0,0,18,0,0,8,0,7.02,Erick,erick,311,874063,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,15,0,0,1,0,7.02,Denilson,denilson,157,1175760,Cuiabá,cuiaba,Cuiabá,0,0,49202,#52b030,#52b030,#ffffff
0,0,0,0,8,0,0,0,21,0,0,0,0,7.01,Matheus Fernandes,matheus-fernandes,986,840150,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,20,0,0,1,0,7.01,Eduardo Sasha,eduardo-sasha,953,143846,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,11,0,0,1,0,7.01,Lucas Oliveira,lucas-oliveira,200,867907,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,32,0,0,4,0,7.01,Gonzalo Mastriani,gonzalo-mastriani,593,345847,América Mineiro,america-mineiro,América Mineiro,0,0,1973,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,30,0,0,1,0,7.0,Deyverson,deyverson,1811,270287,Cuiabá,cuiaba,Cuiabá,0,0,49202,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,40,0,0,8,0,7.0,Marcos Leonardo,marcos-leonardo,5527,1047227,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Ruan Assis,ruan-assis,15,1495892,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,13,0,0,2,0,7.0,Gabriel Xavier,gabriel-xavier,101,1117710,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,Moreira,moreira,326,1175765,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
4,3,0,0,0,1,0,0,1,0,0,0,0,7.0,Vitor Eudes,vitor-eudes,115,927666,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Luis Fernando,luis-fernando,71,1585334,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,17,0,0,4,0,7.0,Biel,biel,540,1106140,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,20,0,0,2,0,6.99,Everton,everton,5930,386198,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
98,56,16,0,8,41,12,5,27,11,2,7,28,6.99,Bento,bento,929,1016104,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,21,0,0,0,0,6.99,Zé Ricardo,ze-ricardo,109,943044,Goiás,goias,Goiás,0,0,1960,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,13,0,0,8,0,6.99,Fernandinho,fernandinho,2703,13630,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,10,0,0,1,0,6.99,Pedro Henrique,pedro-henrique,340,551774,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,34,0,0,4,0,6.99,Lucas Lima,lucas-lima,972,244589,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,0,0,0,12,0,0,0,17,0,0,6,0,6.99,Pablo Maia,pablo-maia,932,1120721,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,0,0,0,8,0,0,0,32,0,0,4,0,6.99,Gil,gil,993,106402,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,20,0,0,6,0,6.99,Agustín Canobbio,agustin-canobbio,946,846413,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,18,0,0,7,0,6.98,Wanderson,wanderson,645,247483,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,17,0,0,5,0,6.98,Maurício,mauricio,750,986233,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,15,0,0,6,0,6.98,Tomás Cuello,tomas-cuello,356,871273,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,13,0,0,0,27,0,0,3,0,6.98,Luciano Castan,luciano-castan,171,845110,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,26,0,0,1,0,6.98,Sander,sander,133,795014,Goiás,goias,Goiás,0,0,1960,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,19,0,0,4,0,6.98,Yeferson Soteldo,yeferson-soteldo,2810,789960,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,0,0,0,7,0,0,0,28,0,0,7,0,6.98,Thiago Heleno,thiago-heleno,247,33106,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,10,0,0,4,0,6.98,Gabriel Menino,gabriel-menino,1891,974556,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,12,0,0,0,16,0,0,6,0,6.98,Joaquín Piquerez,joaquin-piquerez,1809,881110,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,0,0,0,8,0,0,0,23,0,0,2,0,6.98,Nino,nino,1286,870788,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,20,0,0,1,0,6.98,Jean Lucas,jean-lucas,907,927975,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,0,0,0,4,0,0,0,38,0,0,3,0,6.97,Mathias Villasanti,mathias-villasanti,891,1139775,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,22,0,0,9,0,6.97,Alan Patrick,alan-patrick,1098,124997,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,11,0,0,3,0,6.97,Vítor Jacaré,vitor-jacare,442,1019652,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
84,41,15,1,12,41,6,7,25,6,0,7,15,6.96,Rafael,rafael,661,33132,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,0,0,0,2,0,0,0,18,0,0,1,0,6.96,Matheus Bidú,matheus-bidu,658,981703,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,4,0,0,1,0,6.96,Kaique Rocha,kaique-rocha,147,963990,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,7,0,0,0,0,6.96,Matheus Pereira,matheus-pereira,1927,377238,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,21,0,0,2,0,6.96,Vitor Roque,vitor-roque,16971,1150391,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,7,0,0,0,0,6.96,Paulo Henrique,paulo-henrique,217,1021721,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
0,0,0,0,3,0,0,0,10,0,0,0,0,6.96,Allyson,allyson,54,809194,Cuiabá,cuiaba,Cuiabá,0,0,49202,#52b030,#52b030,#ffffff
0,0,0,0,1,0,0,0,3,0,0,0,0,6.96,Dudu,dudu,152,859083,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
0,0,0,0,5,0,0,0,17,0,0,3,0,6.95,Hugo,hugo,116,1017827,Goiás,goias,Goiás,0,0,1960,#52b030,#52b030,#ffffff
